ParcelID,Status,PurchaserName,PhoneNumber,EmailAddress,PurchaseID,SaleDate,PriceNaira,AreaSqm,DisplayPreference,AdminNote,ChangedBy,MarketerID,CommissionRate,TerritoryZone
P1-01,sold,,,,,,,420.02,none,,,,,phase-1
P1-02,sold,,,,,,,394.15,none,,,,,phase-1
P1-03,sold,,,,,,,419.57,none,,,,,phase-1
P1-04,sold,,,,,,,424.31,none,,,,,phase-1
P1-05,available,,,,,,,373.7,none,,,,,phase-1
P1-06,available,,,,,,,544.75,none,,,,,phase-1
P1-07,available,,,,,,,592.98,none,,,,,phase-1
P1-08,available,,,,,,,419.6,none,,,,,phase-1
P1-09,available,,,,,,,541.91,none,,,,,phase-1
P1-10,available,,,,,,,415.86,none,,,,,phase-1
P1-11,available,,,,,,,528.15,none,,,,,phase-1
P1-12,available,,,,,,,588.15,none,,,,,phase-1
P1-13,available,,,,,,,411.03,none,,,,,phase-1
P1-14,available,,,,,,,389.88,none,,,,,phase-1
P1-15,available,,,,,,,496.85,none,,,,,phase-1
P1-16,available,,,,,,,435.07,none,,,,,phase-1
P1-17,available,,,,,,,525.54,none,,,,,phase-1
P1-18,available,,,,,,,463.95,none,,,,,phase-1
P1-19,available,,,,,,,503.91,none,,,,,phase-1
P1-20,available,,,,,,,419.65,none,,,,,phase-1
P1-21,available,,,,,,,478.08,none,,,,,phase-1
P1-22,available,,,,,,,425.27,none,,,,,phase-1
P1-23,available,,,,,,,482.93,none,,,,,phase-1
P1-24,available,,,,,,,454.58,none,,,,,phase-1
P1-25,available,,,,,,,485.97,none,,,,,phase-1
P1-26,available,,,,,,,483.71,none,,,,,phase-1
P1-27,available,,,,,,,502.37,none,,,,,phase-1
P1-28,available,,,,,,,528.74,none,,,,,phase-1
P1-29,available,,,,,,,630.72,none,,,,,phase-1
P1-30,available,,,,,,,665.01,none,,,,,phase-1
P1-31,available,,,,,,,643.16,none,,,,,phase-1
P1-32,available,,,,,,,654.41,none,,,,,phase-1
P1-33,available,,,,,,,649.52,none,,,,,phase-1
P1-34,available,,,,,,,650.53,none,,,,,phase-1
P1-35,available,,,,,,,750.86,none,,,,,phase-1
P2-01,available,,,,,,,446.97,none,,,,,phase-2
P2-02,available,,,,,,,448.19,none,,,,,phase-2
P2-03,available,,,,,,,448.19,none,,,,,phase-2
P2-04,available,,,,,,,448.19,none,,,,,phase-2
P2-05,available,,,,,,,448.19,none,,,,,phase-2
P2-06,available,,,,,,,448.19,none,,,,,phase-2
P2-07,available,,,,,,,446.26,none,,,,,phase-2
P2-08,available,,,,,,,487.16,none,,,,,phase-2
P2-09,available,,,,,,,487.16,none,,,,,phase-2
P2-10,available,,,,,,,487.16,none,,,,,phase-2
P2-11,available,,,,,,,496.05,none,,,,,phase-2
P2-12,available,,,,,,,447.71,none,,,,,phase-2
P2-13,available,,,,,,,451.78,none,,,,,phase-2
P2-14,available,,,,,,,451.76,none,,,,,phase-2
P2-15,available,,,,,,,451.04,none,,,,,phase-2
P2-16,available,,,,,,,451.23,none,,,,,phase-2
P2-17,available,,,,,,,460.2,none,,,,,phase-2
